time,open,high,low,close,amount,complete
2014-09-01 06:00:00,104.182,104.358,104.1,104.35,3544.0,True
2014-09-02 06:00:00,104.34,105.214,104.298,105.092,11413.0,True
2014-09-03 06:00:00,105.106,105.312,104.742,104.796,12660.0,True
2014-09-04 06:00:00,104.796,105.368,104.762,105.261,16792.0,True
2014-09-05 06:00:00,105.235,105.708,104.684,105.084,20494.0,True
2014-09-08 06:00:00,104.995,106.086,104.99,106.028,14666.0,True
2014-09-09 06:00:00,106.026,106.476,105.943,106.204,18260.0,True
2014-09-10 06:00:00,106.184,106.886,106.041,106.86,21796.0,True
2014-09-11 06:00:00,106.842,107.202,106.638,107.1,23659.0,True
2014-09-12 06:00:00,107.058,107.396,106.966,107.352,17963.0,True
2014-09-15 06:00:00,107.206,107.366,107.01,107.186,10767.0,True
2014-09-16 06:00:00,107.186,107.334,106.81,107.13,18850.0,True
2014-09-17 06:00:00,107.094,108.393,107.094,108.371,36614.0,True
2014-09-18 06:00:00,108.382,108.964,108.318,108.683,25276.0,True
2014-09-19 06:00:00,108.7,109.466,108.594,109.038,34829.0,True
2014-09-22 06:00:00,109.04,109.196,108.668,108.837,21040.0,True
2014-09-23 06:00:00,108.85,108.994,108.251,108.884,22709.0,True
2014-09-24 06:00:00,108.912,109.154,108.458,109.044,24339.0,True
2014-09-25 06:00:00,109.033,109.376,108.52,108.752,34979.0,True
2014-09-26 06:00:00,108.729,109.542,108.48,109.288,32122.0,True
2014-09-29 06:00:00,109.304,109.744,109.124,109.486,33078.0,True
2014-09-30 06:00:00,109.498,109.848,109.186,109.652,28840.0,True
2014-10-01 06:00:00,109.632,110.094,108.866,108.888,44549.0,True
2014-10-02 06:00:00,108.916,109.122,108.008,108.42,66360.0,True
2014-10-03 06:00:00,108.42,109.907,108.35,109.764,39573.0,True
2014-10-06 06:00:00,109.718,109.909,108.65,108.78,34337.0,True
2014-10-07 06:00:00,108.793,109.238,107.816,108.027,58492.0,True
2014-10-08 06:00:00,108.027,108.745,107.75,108.077,63656.0,True
2014-10-09 06:00:00,108.062,108.318,107.528,107.839,62571.0,True
2014-10-10 06:00:00,107.853,108.158,107.62,107.651,50762.0,True
2014-10-13 06:00:00,107.549,107.631,106.77,106.841,39256.0,True
2014-10-14 06:00:00,106.808,107.313,106.671,107.054,51050.0,True
2014-10-15 06:00:00,107.054,107.5,105.192,105.93,112894.0,True
2014-10-16 06:00:00,105.916,106.468,105.508,106.322,100337.0,True
2014-10-17 06:00:00,106.339,106.944,106.134,106.888,52030.0,True
2014-10-20 06:00:00,107.216,107.395,106.78,106.947,41737.0,True
2014-10-21 06:00:00,106.947,107.026,106.253,106.998,40662.0,True
2014-10-22 06:00:00,107.027,107.378,106.789,107.133,31085.0,True
2014-10-23 06:00:00,107.142,108.356,107.108,108.268,32524.0,True
2014-10-24 06:00:00,108.268,108.315,107.784,108.16,34322.0,True
2014-10-27 06:00:00,108.376,108.39,107.608,107.824,32949.0,True
2014-10-28 06:00:00,107.805,108.187,107.694,108.17,30908.0,True
2014-10-29 06:00:00,108.147,108.966,107.943,108.889,35180.0,True
2014-10-30 06:00:00,108.888,109.47,108.749,109.218,43884.0,True
2014-10-31 06:00:00,109.236,112.474,109.176,112.327,96313.0,True
2014-11-03 07:00:00,112.731,114.214,112.572,114.052,61811.0,True
2014-11-04 07:00:00,113.982,114.027,113.17,113.598,58327.0,True
2014-11-05 07:00:00,113.596,114.856,113.419,114.641,64094.0,True
2014-11-06 07:00:00,114.667,115.519,114.059,115.208,88626.0,True
2014-11-07 07:00:00,115.244,115.626,114.258,114.596,84059.0,True
2014-11-10 07:00:00,114.506,114.913,113.862,114.855,51851.0,True
2014-11-11 07:00:00,114.826,116.102,114.636,115.773,37483.0,True
2014-11-12 07:00:00,115.789,116.012,114.884,115.462,45480.0,True
2014-11-13 07:00:00,115.535,115.883,115.314,115.766,32171.0,True
2014-11-14 07:00:00,115.778,116.824,115.726,116.275,40556.0,True
2014-11-17 07:00:00,116.47,117.054,115.46,116.627,43895.0,True
2014-11-18 07:00:00,116.646,117.05,116.342,116.853,34187.0,True
2014-11-19 07:00:00,116.89,118.082,116.816,117.967,37440.0,True
2014-11-20 07:00:00,117.947,118.978,117.746,118.229,49964.0,True
2014-11-21 07:00:00,118.162,118.368,117.359,117.866,46469.0,True
2014-11-24 07:00:00,117.91,118.486,117.58,118.275,22705.0,True
2014-11-25 07:00:00,118.276,118.58,117.69,117.972,34616.0,True
2014-11-26 07:00:00,117.978,117.978,117.442,117.743,25477.0,True
2014-11-27 07:00:00,117.73,117.883,117.236,117.716,17108.0,True
2014-11-28 07:00:00,117.742,118.771,117.722,118.617,25321.0,True
2014-12-01 07:00:00,118.752,119.146,117.868,118.402,42787.0,True
2014-12-02 07:00:00,118.388,119.286,118.224,119.216,24020.0,True
2014-12-03 07:00:00,119.256,119.864,119.13,119.792,25036.0,True
2014-12-04 07:00:00,119.762,120.252,119.34,119.784,34616.0,True
2014-12-05 07:00:00,119.778,121.688,119.706,121.472,37472.0,True
2014-12-08 07:00:00,121.581,121.85,120.206,120.69,33881.0,True
2014-12-09 07:00:00,120.712,121.006,117.934,119.694,66149.0,True
2014-12-10 07:00:00,119.672,119.919,117.707,117.821,67799.0,True
2014-12-11 07:00:00,117.846,119.558,117.437,118.648,59167.0,True
2014-12-12 07:00:00,118.715,119.204,118.054,118.812,56459.0,True
2014-12-15 07:00:00,118.678,119.062,117.563,117.81,75696.0,True
2014-12-16 07:00:00,117.834,118.016,115.57,116.412,102030.0,True
2014-12-17 07:00:00,116.405,118.905,116.304,118.639,86418.0,True
2014-12-18 07:00:00,118.672,119.313,118.259,118.841,50795.0,True
2014-12-19 07:00:00,118.841,119.625,118.824,119.514,40698.0,True
2014-12-22 07:00:00,119.536,120.088,119.313,120.038,21399.0,True
2014-12-23 07:00:00,120.056,120.826,119.963,120.69,16266.0,True
2014-12-24 07:00:00,120.69,120.766,120.279,120.46,17112.0,True
2014-12-26 07:00:00,120.115,120.462,120.09,120.382,18902.0,True
2014-12-29 07:00:00,120.369,120.737,120.17,120.673,19162.0,True
2014-12-30 07:00:00,120.673,120.69,118.864,119.472,30098.0,True
2014-12-31 07:00:00,119.472,119.94,119.253,119.884,13163.0,True
2015-01-02 07:00:00,119.746,120.742,119.726,120.494,24090.0,True
2015-01-05 07:00:00,120.509,120.647,119.374,119.636,40813.0,True
2015-01-06 07:00:00,119.61,119.635,118.054,118.384,61074.0,True
2015-01-07 07:00:00,118.447,119.646,118.431,119.253,52882.0,True
2015-01-08 07:00:00,119.238,119.962,119.16,119.661,34393.0,True
2015-01-09 07:00:00,119.687,119.879,118.42,118.543,54277.0,True
2015-01-12 07:00:00,118.343,119.319,118.099,118.348,42064.0,True
2015-01-13 07:00:00,118.359,118.852,117.538,117.923,58017.0,True
2015-01-14 07:00:00,117.923,117.964,116.071,117.332,72968.0,True
2015-01-15 07:00:00,117.342,117.944,116.157,116.163,118038.0,True
2015-01-16 07:00:00,116.161,117.771,115.855,117.624,83282.0,True
